calendar_year_month,sku,sales_usd,sales_qty,calendar_date
201603,4648-0,28335.18,3154,2016-03-01
201603,4694-0,169277.21,13216,2016-03-01
201603,4734-0,217167.7,9692,2016-03-01
201603,4774-0,528006.8200000001,46754,2016-03-01
201603,4775-0,193780.82,18227,2016-03-01
201603,5172-0,479290.07,1284,2016-03-01
201603,98993-0,770329.15,3193,2016-03-01
201603,98994-0,969177.31,3991,2016-03-01
201603,99042-NA,68135.94,559,2016-03-01
201603,99517-LGR-1WA,3527.75,5,2016-03-01
201603,99517-LGR-1WT,930.8,1,2016-03-01
201603,99520-LGR-1WA,3678.24,4,2016-03-01
201603,99522-LG-1WA,7946.82,6,2016-03-01
201603,99522-LG-1WT,1395.07,1,2016-03-01
201603,99524-LG-1WA,5653.599999999999,5,2016-03-01
201603,99530-LGR-1WA,3922.84,6,2016-03-01
201603,99530-LGR-1WT,0.0,2,2016-03-01
201603,99533-LGR-1WA,1666.1,3,2016-03-01
201603,99533-LGR-1WT,1715.0,3,2016-03-01
201603,99535-LG-1WA,4870.67,4,2016-03-01
201603,99537-LG-1WT,1101.85,1,2016-03-01
201603,99541-R-1WA,3325.04,6,2016-03-01
201603,99543-R-1WA,4948.31,9,2016-03-01
201603,99544-1WA,6129.87,9,2016-03-01
201603,99548-1WA,4081.3099999999995,6,2016-03-01
201603,CB-CLW2026SS,253250.28999999998,2765,2016-03-01
201604,10491-0,1792260.49,7344,2016-04-01
201604,10493-0,284585.83999999997,1103,2016-04-01
201604,11464-0,1685731.73,13477,2016-04-01
201604,11499-0,1795725.24,11830,2016-04-01
201604,2967-BR1,65729.11,759,2016-04-01
201604,3073-NA,307973.51,3590,2016-04-01
201604,3946-0,237087.02000000002,871,2016-04-01
201604,4008-0,93488.72,3505,2016-04-01
201604,4166-0,176330.59,2651,2016-04-01
201604,4167-0,111932.74,1621,2016-04-01
201604,4198-0,761381.14,8995,2016-04-01
201604,4199-0,2191005.83,22041,2016-04-01
201604,4309-0,982129.17,7734,2016-04-01
201604,4418-0,266521.68,3397,2016-04-01
201604,4421-0,247056.79,3312,2016-04-01
201604,4434-0,396377.05,3026,2016-04-01
201604,4467-0,813199.68,15077,2016-04-01
201604,4468-0,825623.1,15369,2016-04-01
201604,45989-0,489162.99,2777,2016-04-01
201604,4636-0,729687.88,29684,2016-04-01
